Date,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close,RSI,Inflation Rate,CPI,value,classification
2022-05-18,57.01,57.85,49.38,49.93,4470848.03,235605712.6601,517406.0,2075483.88,109121055.2898,4470848.03,-319880.2700000005,49.91,25.316601427584615,6.410831677385809,291.299,12.0,Extreme Fear
2022-05-19,49.93,54.09,48.2,52.2,4794335.94,246302390.7366,513106.0,2409066.2,123781920.4502,4794335.94,23796.459999999963,52.19,30.00741839762611,6.410831677385809,291.299,11.0,Extreme Fear
2022-05-20,52.2,53.62,47.81,49.43,4811635.67,245429377.9878,499246.0,2360367.21,120404388.9083,4811635.67,-90901.25,49.44,30.033411706471966,6.410831677385809,291.299,11.0,Extreme Fear
2022-05-21,49.42,51.21,48.43,50.31,1969104.94,98299753.259,222550.0,1028256.66,51344267.3972,1969104.94,87408.38000000012,50.32,31.89600507292326,6.410831677385809,291.299,11.0,Extreme Fear
2022-05-22,50.3,53.2,49.69,52.48,2723718.45,140435263.8116,254086.0,1368446.48,70547777.6607,2723718.45,13174.509999999776,52.5,35.264516129032245,6.410831677385809,291.299,13.0,Extreme Fear
2022-05-23,52.48,54.68,48.61,49.17,4201654.88,219973233.886,434398.0,2070590.5,108475444.1931,4201654.88,-60473.87999999989,49.15,40.33353010625738,6.410831677385809,291.299,11.0,Extreme Fear
2022-05-24,49.17,50.85,47.1,49.67,3645448.65,179621230.7128,303032.0,1922334.26,94750753.9196,3645448.65,199219.8700000001,49.65,36.600282264387644,6.410831677385809,291.299,13.0,Extreme Fear
2022-05-25,49.67,50.55,47.57,47.98,3294918.76,160613552.1388,248168.0,1623340.11,79144187.6989,3294918.76,-48238.53999999957,47.99,47.03748488512697,6.410831677385809,291.299,17.0,Extreme Fear
2022-05-26,47.97,48.66,41.69,43.44,7025986.74,314922743.5919,474015.0,3359291.62,150573122.7439,7025986.74,-307403.5,43.48,48.80803011292347,6.410831677385809,291.299,21.0,Extreme Fear
2022-05-27,43.44,43.95,39.93,41.17,7547814.8,315086453.0078,510421.0,3654355.59,152617780.113,7547814.8,-239103.6200000001,41.16,41.51025752946312,6.410831677385809,291.299,21.0,Extreme Fear
2022-05-28,41.18,45.08,40.33,44.25,4317517.06,183339589.409,307558.0,2217878.72,94265083.3996,4317517.06,118240.38000000082,44.28,41.06003958654058,6.410831677385809,291.299,21.0,Extreme Fear
2022-05-29,44.24,45.67,41.79,44.98,4628871.1,202572097.5885,299730.0,2286989.42,100186292.2866,4628871.1,-54892.25999999978,44.98,32.54467656682607,6.410831677385809,291.299,21.0,Extreme Fear
2022-05-30,44.98,48.39,44.27,47.22,5476313.14,253574633.2647,349733.0,2803984.13,129876725.2018,5476313.14,131655.1200000001,47.23,41.138211382113816,6.410831677385809,291.299,26.0,Fear
2022-05-31,47.22,48.24,44.56,45.77,4479536.73,207640573.6838,309278.0,2127982.03,98674635.4257,4479536.73,-223572.67000000086,45.74,33.9123006833713,6.410831677385809,291.299,25.0,Fear
2022-06-01,45.78,46.12,39.51,40.11,4778696.94,205803279.5537,336469.0,2321143.66,99989842.0396,4778696.94,-136409.6200000001,40.1,35.414808206958085,6.410831677385809,295.072,28.0,Fear
2022-06-02,40.11,41.65,38.13,40.85,5153870.27,206604815.9131,360847.0,2686932.09,107735279.1838,5153870.27,219993.91000000015,40.87,32.3785803237858,6.410831677385809,295.072,27.0,Fear
2022-06-03,40.86,41.54,37.63,38.28,4437324.64,172766731.5807,344798.0,2100892.67,81893764.5822,4437324.64,-235539.2999999998,38.28,32.540675844806,6.410831677385809,295.072,27.0,Fear
2022-06-04,38.28,39.5,35.71,39.0,3736176.79,139577288.6715,265233.0,1898179.52,70956100.8964,3736176.79,60182.25,39.0,32.20125786163521,6.410831677385809,295.072,27.0,Fear
2022-06-05,39.02,40.22,37.85,38.52,3618511.38,141881168.631,243413.0,1756086.74,68904461.1256,3618511.38,-106337.8999999999,38.52,26.777408637873748,6.410831677385809,295.072,29.0,Fear
2022-06-06,38.53,44.87,38.33,42.39,6823258.3,290291015.6326,488023.0,3410303.32,144912338.5087,6823258.3,-2651.660000000149,42.39,38.96146309601567,6.410831677385809,295.072,31.0,Fear
2022-06-07,42.39,42.8,37.12,39.31,7677286.83,302649368.6022,523590.0,3884413.95,152954376.948,7677286.83,91541.0700000003,39.32,34.43808376016872,6.410831677385809,295.072,32.0,Fear
2022-06-08,39.32,40.96,38.28,38.83,3988154.3,156635684.2698,283280.0,2012253.89,79064629.8077,3988154.3,36353.47999999998,38.83,35.69643972517176,6.410831677385809,295.072,31.0,Fear
2022-06-09,38.83,41.97,38.44,39.96,4587327.75,185342283.8484,285547.0,2186660.8,88273397.4489,3988154.3,36353.47999999998,39.96,43.85474860335196,6.410831677385809,295.072,28.0,Fear
2022-06-10,39.96,40.9,36.8,37.17,4364643.34,168826417.9157,313613.0,2165683.57,83896463.4823,4364643.34,-33276.200000000186,37.15,43.11706144867834,6.410831677385809,295.072,28.0,Fear
2022-06-11,37.17,37.93,33.17,33.93,4638154.317,164203312.634082,300132.0,2293782.57,81214373.7579,4638154.317,-50589.17700000014,33.91,32.27350427350426,6.410831677385809,295.072,28.0,Fear
2022-06-12,33.94,34.5,30.56,30.61,6810748.104,222245784.905825,400837.0,3329549.13,108692236.98294,6810748.104,-151649.8440000005,30.64,27.467001885606535,6.410831677385809,295.072,17.0,Extreme Fear
2022-06-13,30.6,31.11,26.05,28.6,13336972.466,372532264.645125,802782.0,6520919.69,182336265.8086,13336972.466,-295133.0859999992,28.61,20.53797468354429,6.410831677385809,295.072,17.0,Extreme Fear
2022-06-14,28.59,32.32,25.86,29.59,11437619.27,335148563.73442,671181.0,5712051.47,167627703.046,11437619.27,-13516.330000000075,29.59,24.027018333869407,6.410831677385809,295.072,20.0,Extreme Fear
2022-06-15,29.59,34.86,26.79,34.76,12673444.09,376046180.3309,806141.0,6299581.94,187204432.0969,12673444.09,-74280.20999999903,34.75,41.26102580855929,6.410831677385809,295.072,13.0,Extreme Fear
2022-06-16,34.75,36.0,29.52,30.12,10418712.66,335024040.421,605517.0,5210995.29,167584261.3739,10418712.66,3277.9199999999255,30.12,34.406730490281404,6.410831677385809,295.072,14.0,Extreme Fear
2022-06-17,30.12,32.19,29.26,30.71,6274370.5,195306060.2521,359804.0,3117542.33,97092456.1104,6274370.5,-39285.83999999985,30.67,38.26703669441875,6.410831677385809,295.072,14.0,Extreme Fear
2022-06-18,30.72,32.06,27.15,32.02,9330644.34,275582397.1253,555711.0,4481659.34,132469798.385,9330644.34,-367325.66000000015,32.0,39.406779661016955,6.410831677385809,295.072,14.0,Extreme Fear
2022-06-19,32.01,35.4,28.68,34.19,9253122.78,294048592.2679,592879.0,4564396.0,145353097.5734,9253122.78,-124330.77999999933,34.2,43.785960874568474,6.410831677385809,295.072,14.0,Extreme Fear
2022-06-20,34.19,36.9,31.73,35.24,8218146.8,281820809.8979,564975.0,4105638.47,140943448.8575,8218146.8,-6869.859999999404,35.25,38.82279273638071,6.410831677385809,295.072,19.0,Extreme Fear
2022-06-21,35.25,39.19,34.2,36.42,7429098.76,275003273.0888,524268.0,3705269.01,137254055.6303,7429098.76,-18560.740000000224,36.34,45.02670226969293,6.410831677385809,295.072,21.0,Extreme Fear
2022-06-22,36.42,36.87,33.65,34.12,6494707.01,227729988.5166,407107.0,3259381.95,114343205.9208,6494707.01,24056.890000000596,34.12,42.56863363837173,6.410831677385809,295.072,22.0,Extreme Fear
2022-06-23,34.13,38.65,33.91,38.15,7002610.45,257121431.1557,443012.0,3602472.49,132276229.5538,7002610.45,202334.53000000026,38.14,47.368421052631575,6.410831677385809,295.072,27.0,Fear
2022-06-24,38.15,42.92,37.67,41.91,6583046.23,263461013.4666,463015.0,3266628.64,130693448.5864,6583046.23,-49788.950000000186,41.91,56.69667979741136,6.410831677385809,295.072,27.0,Fear
2022-06-25,41.91,42.64,39.73,42.22,4294211.07,177460350.6068,334804.0,2090890.07,86415136.3452,4294211.07,-112430.92999999993,42.22,62.741490340386385,6.410831677385809,295.072,27.0,Fear
2022-06-26,42.22,42.49,39.14,39.39,4024143.84,164663443.9117,308030.0,1885381.29,77188468.5997,4024143.84,-253381.25999999978,39.4,63.619402985074615,6.410831677385809,295.072,28.0,Fear
2022-06-27,39.39,41.25,37.9,38.52,4172937.4,164427982.2266,289594.0,2035849.08,80247519.6567,4172937.4,-101239.23999999976,38.51,65.95744680851062,6.410831677385809,295.072,26.0,Fear
2022-06-28,38.5,39.9,35.02,35.35,5581335.85,209748465.2987,361164.0,2750704.2,103481792.1872,5581335.85,-79927.44999999925,35.34,58.6570310147546,6.410831677385809,295.072,25.0,Fear
2022-06-29,35.34,36.12,33.1,34.05,5755278.44,199587272.3007,362853.0,2854587.08,99023547.0242,5755278.44,-46104.28000000026,34.02,48.75723527408921,6.410831677385809,295.072,22.0,Extreme Fear
2022-06-30,34.06,34.2,30.92,33.76,5337105.46,171919474.3534,344452.0,2679028.5,86322445.5432,5337105.46,20951.540000000037,33.75,57.25709716113553,6.410831677385809,295.072,24.0,Extreme Fear
2022-07-01,33.76,35.4,31.82,32.84,6155756.76,204979216.4937,368256.0,2978243.67,99231819.3172,6155756.76,-199269.41999999993,32.82,54.23395037416306,6.410831677385809,294.94,24.0,Extreme Fear
