Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2024-08-14,6.197,6.232,5.68,5.682,5598649.18,33650038.40988,253195.0,2607474.66,15714578.56939,5598649.18,-383699.8599999994,5.681,53.60210341805435,2.872366268806581,314.131,30.0,Fear
2024-08-15,5.683,5.911,5.311,5.381,6372724.34,35670341.48218,249551.0,3058952.8,17146780.64744,6372724.34,-254818.74000000022,5.381,48.216482164821656,2.872366268806581,314.131,29.0,Fear
2024-08-16,5.381,5.57,4.985,5.152,5042924.29,26261266.75479,182189.0,2389462.17,12426206.87604,5042924.29,-263999.9500000002,5.151,48.4548825710754,2.872366268806581,314.131,27.0,Fear
2024-08-17,5.153,5.2,5.009,5.126,2972727.1,15174832.07755,99470.0,1449225.53,7402076.31014,2972727.1,-74276.04000000004,5.126,51.5015015015015,2.872366268806581,314.131,25.0,Fear
2024-08-18,5.127,5.264,4.987,4.997,2897709.1,14898782.33037,105221.0,1350443.29,6946830.3319,2897709.1,-196822.52000000002,4.994,52.647735993860316,2.872366268806581,314.131,31.0,Fear
2024-08-19,4.998,5.032,4.765,5.015,3667612.84,17959417.09357,114422.0,1848652.12,9059674.51184,3667612.84,29691.400000000373,5.017,52.6840490797546,2.872366268806581,314.131,28.0,Fear
2024-08-20,5.015,5.202,4.912,4.996,3698855.71,18736785.56018,129729.0,1736033.65,8799446.61552,3698855.71,-226788.41000000015,4.995,50.150150150150154,2.872366268806581,314.131,30.0,Fear
2024-08-21,4.995,5.225,4.89,5.156,3657628.29,18563661.93583,204315.0,1814459.48,9216727.5011,3657628.29,-28709.330000000075,5.155,56.72626649638144,2.872366268806581,314.131,26.0,Fear
2024-08-22,5.155,5.299,5.117,5.275,2802126.01,14591920.97814,153971.0,1368119.68,7129449.29438,2802126.01,-65886.6499999999,5.274,44.77044281445259,2.872366268806581,314.131,39.0,Fear
2024-08-23,5.276,5.947,5.264,5.93,6324302.42,35498512.19418,325700.0,3149376.17,17677527.21474,6324302.42,-25550.080000000075,5.929,53.82098621173171,2.872366268806581,314.131,34.0,Fear
