Date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,Inflation Rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply,circulating_total_ratio,price_to_circulating_supply
2024-12-16,830861443.5112126,94512807.51474911,0.8298841924924603,0.8298841924924603,0.8298841924924603,0.8298841924924603,0.8298841924924603,94512807.51474911,83.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-17,797011122.2627572,94860286.16285588,0.8025201296837472,0.8025201296837472,0.8025201296837472,0.8025201296837472,0.8025201296837472,94860286.16285588,87.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-18,822582754.9914404,105330404.5883693,0.8189256904764387,0.8189256904764387,0.8189256904764387,0.8189256904764387,0.8189256904764387,105330404.5883693,81.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-19,792018309.9530646,162173459.00452873,0.7919911873418909,0.645643,1.01,0.576201,0.791991,162173459.00452873,75.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-20,1084447747.9596899,283070864.1878624,1.0852999118326145,1.0852999118326145,1.0852999118326145,1.0852999118326145,1.0852999118326145,283070864.1878624,74.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-21,1058780727.0332948,314864641.0741593,1.059828826662262,1.059828826662262,1.059828826662262,1.059828826662262,1.059828826662262,314864641.0741593,73.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-22,785344656.2406858,271758717.71145767,0.7890308661744805,0.7890308661744805,0.7890308661744805,0.7890308661744805,0.7890308661744805,271758717.71145767,73.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-23,704631763.5708225,130268821.19295605,0.7038938047533239,0.786213,1.29,0.703894,0.703894,130268821.19295605,70.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-24,801387231.524039,239685396.96822792,0.8002050065020307,0.8002050065020307,0.8002050065020307,0.8002050065020307,0.8002050065020307,239685396.96822792,73.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-25,1218988775.9292443,238750631.92775697,1.2164463793538223,1.2164463793538223,1.2164463793538223,1.2164463793538223,1.2164463793538223,238750631.92775697,73.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-26,1187634466.4552433,187040412.24634793,1.1884964719648592,1.1884964719648592,1.1884964719648592,1.1884964719648592,1.1884964719648592,187040412.24634793,79.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-27,972326073.9701109,143073322.1981408,0.978088136439276,0.699067,1.27,0.580326,0.978088,143073322.1981408,74.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-28,872843177.1303114,127061756.5888368,0.871870111778718,0.871870111778718,0.871870111778718,0.871870111778718,0.871870111778718,127061756.5888368,72.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-29,989380357.2411145,96776323.10281767,0.9893845296027524,0.9893845296027524,0.9893845296027524,0.9893845296027524,0.9893845296027524,96776323.10281767,73.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-30,862521789.8211598,84728371.8946461,0.8628795226863688,0.8628795226863688,0.8628795226863688,0.8628795226863688,0.8628795226863688,84728371.8946461,65.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-31,880669064.3939521,120539340.89853087,0.8813971042253136,0.975881,1.12,0.784311,0.881397,120539340.89853087,64.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-01,940033105.9551145,119793207.36449598,0.9387690758025076,0.9387690758025076,0.9387690758025076,0.9387690758025076,0.9387690758025076,119793207.36449598,66.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-02,986073157.6730824,83958511.95116581,0.9839543966750899,0.9839543966750899,0.9839543966750899,0.9839543966750899,0.9839543966750899,83958511.95116581,70.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-03,1332174010.8998077,244915267.75616118,1.3427121404347822,1.3427121404347822,1.3427121404347822,1.3427121404347822,1.3427121404347822,244915267.75616118,74.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-04,1517331916.881248,172733586.235826,1.5173165751377478,0.877826,1.59,0.817001,1.52,172733586.235826,73.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-05,1429027259.4051883,71011308.40386756,1.4294121827728987,1.4294121827728987,1.4294121827728987,1.4294121827728987,1.4294121827728987,71011308.40386756,72.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-06,1295112860.6993692,65491637.07809727,1.2959959441081432,1.2959959441081432,1.2959959441081432,1.2959959441081432,1.2959959441081432,65491637.07809727,76.0,Extreme Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-07,1167065774.9801025,123556347.91666143,1.1679674028608324,1.1679674028608324,1.1679674028608324,1.1679674028608324,1.1679674028608324,123556347.91666143,78.0,Extreme Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-08,1072655218.9486464,126893331.58237371,1.0756066937593696,1.51,1.52,1.064,1.076,126893331.58237371,70.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-09,1138130134.7009547,190148845.04446718,1.1370702217233084,1.1370702217233084,1.1370702217233084,1.1370702217233084,1.1370702217233084,190148845.04446718,69.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-10,862378537.1926782,193328258.28687793,0.860806394892658,0.860806394892658,0.860806394892658,0.860806394892658,0.860806394892658,193328258.28687793,50.0,Neutral,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-11,840871263.9808512,134161833.71272574,0.8405192441794743,0.8405192441794743,0.8405192441794743,0.8405192441794743,0.8405192441794743,134161833.71272574,69.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-12,824890543.0281237,111655748.46798587,0.822104160095821,1.068,1.16,0.725666,0.822104,111655748.46798587,62.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-13,770101102.7231457,71659062.90700567,0.7700977672764444,0.7700977672764444,0.7700977672764444,0.7700977672764444,0.7700977672764444,71659062.90700567,61.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-14,1081833111.3050442,181340958.4004198,1.0796358026179533,1.0796358026179533,1.0796358026179533,1.0796358026179533,1.0796358026179533,181340958.4004198,63.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-15,1024761274.1591197,133918586.77133133,1.0252647523579266,1.0252647523579266,1.0252647523579266,1.0252647523579266,1.0252647523579266,133918586.77133133,70.0,Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-16,1282938865.187295,150144605.49214613,1.2840934748330852,0.822319,1.33,0.685285,1.28,150144605.49214613,75.0,Extreme Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-17,1326174551.0150185,125320974.16601689,1.3287054240695158,1.3287054240695158,1.3287054240695158,1.3287054240695158,1.3287054240695158,125320974.16601689,75.0,Extreme Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2025-01-18,1415215447.870501,156512358.60085112,1.4120650124576002,1.4120650124576002,1.4120650124576002,1.4120650124576002,1.4120650124576002,156512358.60085112,77.0,Extreme Greed,2.8142703731568686,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
