date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,inflation rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply
2024-02-12,0.0,71.25376795315388,2.039965729747481e-13,2.039965729747481e-13,2.039965729747481e-13,2.039965729747481e-13,2.039965729747481e-13,71.25376795315388,70.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-13,0.0,71.25376795315388,2.039965729747481e-13,2.039965729747481e-13,2.039965729747481e-13,2.039965729747481e-13,2.039965729747481e-13,71.25376795315388,79.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-14,0.0,2.0859944639006747,2.0859944639006748e-13,2.0859944639006748e-13,2.0859944639006748e-13,2.0859944639006748e-13,2.0859944639006748e-13,2.0859944639006747,74.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-15,0.0,6.808225964230502,2.2660982398675513e-13,2.2660982398675513e-13,2.2660982398675513e-13,2.2660982398675513e-13,2.2660982398675513e-13,6.808225964230502,72.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-16,0.0,6.808225964230502,2.2660982398675513e-13,2.2660982398675513e-13,2.2660982398675513e-13,2.2660982398675513e-13,2.2660982398675513e-13,6.808225964230502,72.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-17,0.0,11.966911723449925,2.3264014032062064e-13,2.3264014032062064e-13,2.3264014032062064e-13,2.3264014032062064e-13,2.3264014032062064e-13,11.966911723449925,76.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-18,0.0,1.3428157496631425,2.27939495570949e-13,2.27939495570949e-13,2.27939495570949e-13,2.27939495570949e-13,2.27939495570949e-13,1.3428157496631425,72.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-19,0.0,1.3417740304314885,2.2776266642946077e-13,2.2776266642946077e-13,2.2776266642946077e-13,2.2776266642946077e-13,2.2776266642946077e-13,1.3417740304314885,75.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-20,0.0,12.933270298521515,2.280570775589593e-13,2.280570775589593e-13,2.280570775589593e-13,2.280570775589593e-13,2.280570775589593e-13,12.933270298521515,72.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-21,0.0,43.44581356092061,2.305924706067385e-13,2.305924706067385e-13,2.305924706067385e-13,2.305924706067385e-13,2.305924706067385e-13,43.44581356092061,78.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-22,0.0,46.61790384899724,2.4612184677133537e-13,2.4612184677133537e-13,2.4612184677133537e-13,2.4612184677133537e-13,2.4612184677133537e-13,46.61790384899724,74.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-23,0.0,0.3811270453257007,2.4999096657445524e-13,2.4999096657445524e-13,2.4999096657445524e-13,2.4999096657445524e-13,2.4999096657445524e-13,0.3811270453257007,76.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-24,0.0,3.4291369812256556,2.4432064563656596e-13,2.4432064563656596e-13,2.4432064563656596e-13,2.4432064563656596e-13,2.4432064563656596e-13,3.4291369812256556,72.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-25,0.0,83.93059130267987,2.5480917827717885e-13,2.5480917827717885e-13,2.5480917827717885e-13,2.5480917827717885e-13,2.5480917827717885e-13,83.93059130267987,74.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-26,0.0,72.04816934286609,2.664316578511112e-13,2.664316578511112e-13,2.664316578511112e-13,2.664316578511112e-13,2.664316578511112e-13,72.04816934286609,72.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-27,0.0,278.71648784787897,2.927423665926627e-13,2.927423665926627e-13,2.927423665926627e-13,2.927423665926627e-13,2.927423665926627e-13,278.71648784787897,79.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-28,0.0,5.347046631455318,2.8840662821666534e-13,2.8840662821666534e-13,2.8840662821666534e-13,2.8840662821666534e-13,2.8840662821666534e-13,5.347046631455318,82.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-29,0.0,15.981290040769213,3.0193755339459517e-13,3.0193755339459517e-13,3.0193755339459517e-13,3.0193755339459517e-13,3.0193755339459517e-13,15.981290040769213,80.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
